"","iterations","available_data_points","prop_coded_data","n_tax","n_var","worst_tax_abs","worst_tax_abs_coding_density","worst_var_abs","worst_var_abs_coding_density","removed_tax","removed_var","taxonomic_index"
"1","0 (full)","305911","0.620144337002575","2430","203","mehi1240","0.0246305418719212","GB285cc","0.0407407407407407","NA","NA","3.73760917254834"
"2","1","305905","0.620387477260605","2429","203","mehi1240","0.0246305418719212","GB285cc","0.0407575133799918","geme1244","NA","3.73830360337101"
"3","2","305900","0.620632846673862","2428","203","japa1238;quey1238","0.0295566502463054","GB285cc","0.0407742998352554","mehi1240","NA","3.73817706117809"
"4","3","305894","0.620876388575975","2427","203","japa1238","0.0295566502463054","GB285cc","0.0407911001236094","quey1238","NA","3.73866216110734"
"5","4","305885","0.621114039611922","2426","203","japa1238","0.0295566502463054","GB285cc","0.0408079142621599","mmen1238","NA","3.73935707285844"
"6","5","305878","0.621355949418516","2425","203","japa1238","0.0295566502463054","GB285cc","0.0408247422680412","cuaa1241","NA","3.73949472847362"
"7","6","305867","0.621589929928953","2424","203","japa1238","0.0295566502463054","GB285cc","0.0408415841584158","bera1262","NA","3.740406636138"
"8","7","305859","0.621830202757238","2423","203","japa1238","0.0295566502463054","GB285cc","0.0408584399504746","tain1254","NA","3.74027172397166"
"9","8","305845","0.622058470587757","2422","203","japa1238","0.0295566502463054","GB285cc","0.0408753096614368","homa1239","NA","3.74096780153421"
"10","9","305833","0.622290996473794","2421","203","japa1238","0.0295566502463054","GB285cc","0.0408921933085502","goro1270","NA","3.74127021326506"
"11","10","305827","0.622535928021821","2420","203","wira1262","0.0640394088669951","GB285cc","0.0409090909090909","japa1238","NA","3.73975609556758"
"12","11","305814","0.622766807112005","2419","203","apol1242;cent1972;finn1310","0.0788177339901478","GB285cc","0.0409260024803638","wira1262","NA","3.73991532897614"
"13","12","305798","0.622991765372188","2418","203","apol1242;finn1310","0.0788177339901478","GB285cc","0.0409429280397022","cent1972","NA","3.74003910215351"
"14","13","305782","0.623216909779049","2417","203","finn1310","0.0788177339901478","GB285cc","0.0409598676044683","apol1242","NA","3.73989463647386"
"15","14","305756","0.623421851042312","2416","203","finn1310","0.0788177339901478","GB285cc","0.040976821192053","ilia1236","NA","3.74081030883673"
"16","15","305727","0.623620842639905","2415","203","finn1310","0.0788177339901478","GB285cc","0.0409937888198758","bana1288","NA","3.74172612068363"
"17","16","305704","0.623832242950604","2414","203","finn1310","0.0788177339901478","GB285cc","0.0410107705053852","east2333","NA","3.74186208963621"
"18","17","305673","0.624027486582326","2413","203","finn1310","0.0788177339901478","GB285cc","0.0410277662660588","bodo1272","NA","3.74256162817696"
"19","18","305644","0.624226976774584","2412","203","finn1310","0.0788177339901478","GB285cc","0.041044776119403","maku1277","NA","3.74347902769327"
"20","19","305625","0.624447064255986","2411","203","finn1310","0.0788177339901478","GB285cc","0.0410618000829531","suru1262","NA","3.74298858372335"
"21","20","305602","0.624659158269117","2410","203","finn1310","0.0788177339901478","GB285cc","0.0410788381742739","nyun1247","NA","3.74314635956267"
"22","21","305580","0.624873473243809","2409","203","finn1310","0.0788177339901478","GB285cc","0.0410958904109589","sara1331","NA","3.74299370111359"
"23","22","305557","0.625085920494902","2408","203","finn1310","0.0788177339901478","GB285cc","0.0411129568106312","kawa1283","NA","3.74287148985493"
"24","23","305525","0.625280125086724","2407","203","finn1310","0.0788177339901478","GB285cc","0.0411300373909431","nalo1235","NA","3.74379098984438"
"25","24","305492","0.625472443685532","2406","203","finn1310","0.0788177339901478","GB285cc","0.0411471321695761","bamb1266","NA","3.74449322746443"
"26","25","305472","0.625691549829481","2405","203","finn1310","0.0788177339901478","GB285cc","0.0411642411642412","kain1272","NA","3.74386305782745"
"27","26","305445","0.6258964943485","2404","203","finn1310","0.0788177339901478","GB285cc","0.0411813643926789","kaur1267","NA","3.74401761605364"
