"code_ID","new.name","value"
"GB020c-?","GB020c","?"
"GB020c-1","GB020c","1"
"GB020c-NA","GB020c","NA"
"GB020c-0","GB020c","0"
"GB021c-?","GB021c","?"
"GB021c-0","GB021c","0"
"GB021c-NA","GB021c","NA"
"GB021c-1","GB021c","1"
"GB022c-?","GB022c","?"
"GB022c-0","GB022c","0"
"GB022c-NA","GB022c","NA"
"GB022c-1","GB022c","1"
"GB023c-?","GB023c","?"
"GB023c-1","GB023c","1"
"GB023c-NA","GB023c","NA"
"GB023c-0","GB023c","0"
"GB024e-2","GB024e","2"
"GB024e-1","GB024e","1"
"GB024e-?","GB024e","?"
"GB024e-NA","GB024e","NA"
"GB025e-1","GB025e","1"
"GB025e-2","GB025e","2"
"GB025e-NA","GB025e","NA"
"GB025e-?","GB025e","?"
"GB026-0","GB026","0"
"GB026-?","GB026","?"
"GB026-1","GB026","1"
"GB027-0","GB027","0"
"GB027-1","GB027","1"
"GB027-?","GB027","?"
"GB028-1","GB028","1"
"GB028-0","GB028","0"
"GB028-?","GB028","?"
"GB030-0","GB030","0"
"GB030-1","GB030","1"
"GB030-?","GB030","?"
"GB031-0","GB031","0"
"GB031-1","GB031","1"
"GB031-?","GB031","?"
"GB035-1","GB035","1"
"GB035-0","GB035","0"
"GB035-?","GB035","?"
"GB036-0","GB036","0"
"GB036-?","GB036","?"
"GB036-1","GB036","1"
"GB037-0","GB037","0"
"GB037-?","GB037","?"
"GB037-1","GB037","1"
"GB038c-NA","GB038c","NA"
"GB038c-0","GB038c","0"
"GB038c-1","GB038c","1"
"GB038c-?","GB038c","?"
"GB039c-0","GB039c","0"
"GB039c-1","GB039c","1"
"GB039c-?","GB039c","?"
"GB039c-NA","GB039c","NA"
"GB041c-0","GB041c","0"
"GB041c-?","GB041c","?"
"GB041c-1","GB041c","1"
"GB041c-NA","GB041c","NA"
"GB046-?","GB046","?"
"GB046-0","GB046","0"
"GB046-1","GB046","1"
"GB047-?","GB047","?"
"GB047-1","GB047","1"
"GB047-0","GB047","0"
"GB048-?","GB048","?"
"GB048-1","GB048","1"
"GB048-0","GB048","0"
"GB049-?","GB049","?"
"GB049-1","GB049","1"
"GB049-0","GB049","0"
"GB051c-?","GB051c","?"
"GB051c-0","GB051c","0"
"GB051c-1","GB051c","1"
"GB051c-NA","GB051c","NA"
"GB052c-?","GB052c","?"
"GB052c-1","GB052c","1"
"GB052c-NA","GB052c","NA"
"GB052c-0","GB052c","0"
"GB053c-?","GB053c","?"
"GB053c-1","GB053c","1"
"GB053c-0","GB053c","0"
"GB053c-NA","GB053c","NA"
"GB054c-?","GB054c","?"
"GB054c-0","GB054c","0"
"GB054c-NA","GB054c","NA"
"GB054c-1","GB054c","1"
"GB057c-NA","GB057c","NA"
"GB057c-1","GB057c","1"
"GB057c-0","GB057c","0"
"GB057c-?","GB057c","?"
"GB058-0","GB058","0"
"GB058-?","GB058","?"
"GB058-1","GB058","1"
"GB059-1","GB059","1"
"GB059-0","GB059","0"
"GB059-?","GB059","?"
"GB065e-1","GB065e","1"
"GB065e-2","GB065e","2"
"GB065e-?","GB065e","?"
"GB065e-NA","GB065e","NA"
"GB068-?","GB068","?"
"GB068-0","GB068","0"
"GB068-1","GB068","1"
"GB069-0","GB069","0"
"GB069-?","GB069","?"
"GB069-1","GB069","1"
"GB074c-0","GB074c","0"
"GB074c-1","GB074c","1"
"GB074c-?","GB074c","?"
"GB074c-NA","GB074c","NA"
"GB075c-1","GB075c","1"
"GB075c-0","GB075c","0"
"GB075c-?","GB075c","?"
"GB075c-NA","GB075c","NA"
"GB081-0","GB081","0"
"GB081-?","GB081","?"
"GB081-1","GB081","1"
"GB082c-?","GB082c","?"
"GB082c-NA","GB082c","NA"
"GB082c-0","GB082c","0"
"GB082c-1","GB082c","1"
"GB083c-0","GB083c","0"
"GB083c-NA","GB083c","NA"
"GB083c-?","GB083c","?"
"GB083c-1","GB083c","1"
"GB084c-1","GB084c","1"
"GB084c-NA","GB084c","NA"
"GB084c-?","GB084c","?"
"GB084c-0","GB084c","0"
"GB095-0","GB095","0"
"GB095-?","GB095","?"
"GB095-1","GB095","1"
"GB096-0","GB096","0"
"GB096-?","GB096","?"
"GB096-1","GB096","1"
"GB098-0","GB098","0"
"GB098-?","GB098","?"
"GB098-1","GB098","1"
"GB099-0","GB099","0"
"GB099-?","GB099","?"
"GB099-1","GB099","1"
"GB103-?","GB103","?"
"GB103-0","GB103","0"
"GB103-1","GB103","1"
"GB104-?","GB104","?"
"GB104-0","GB104","0"
"GB104-1","GB104","1"
"GB105-1","GB105","1"
"GB105-0","GB105","0"
"GB105-?","GB105","?"
"GB107-0","GB107","0"
"GB107-1","GB107","1"
"GB107-?","GB107","?"
"GB108-0","GB108","0"
"GB108-1","GB108","1"
"GB108-?","GB108","?"
"GB109-0","GB109","0"
"GB109-1","GB109","1"
"GB109-?","GB109","?"
"GB110c-0","GB110c","0"
"GB110c-?","GB110c","?"
"GB110c-1","GB110c","1"
"GB110c-NA","GB110c","NA"
"GB111-0","GB111","0"
"GB111-?","GB111","?"
"GB111-1","GB111","1"
"GB113-1","GB113","1"
"GB113-0","GB113","0"
"GB113-?","GB113","?"
"GB116-?","GB116","?"
"GB116-0","GB116","0"
"GB116-1","GB116","1"
"GB117-?","GB117","?"
"GB117-1","GB117","1"
"GB117-0","GB117","0"
"GB118-0","GB118","0"
"GB118-1","GB118","1"
"GB118-?","GB118","?"
"GB122-?","GB122","?"
"GB122-1","GB122","1"
"GB122-0","GB122","0"
"GB123-?","GB123","?"
"GB123-0","GB123","0"
"GB123-1","GB123","1"
"GB124-1","GB124","1"
"GB124-0","GB124","0"
"GB124-?","GB124","?"
"GB126-?","GB126","?"
"GB126-0","GB126","0"
"GB126-1","GB126","1"
"GB127-?","GB127","?"
"GB127-0","GB127","0"
"GB127-1","GB127","1"
"GB129-?","GB129","?"
"GB129-0","GB129","0"
