"glottocode","name","isocodes","level","glottolog.macroarea","latitude","longitude","autotyp.continent","autotyp.area","comment","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20","level21","level22","level23","level24","level25","level26","level27"
"aari1239","Aari","aiw","language","Africa",5.95034,36.5721,"Africa","Greater Abyssinia",NA,"sout2845","ahkk1235","aari1238","aari1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abad1241","Abadi","kbt","language","Papunesia",-9.03389,146.992,"NG and Oceania","S New Guinea",NA,"aust1307","mala1545","east2712","ocea1241","west2818","papu1253","peri1258","cent2070","west2850","abad1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abag1245","Abaga","abg","language","Papunesia",-6.12028,145.665,"NG and Oceania","Interior New Guinea",NA,"nucl1709","kain1273","goro1272","nucl1760","nucl1756","kama1374","unun9976","abag1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abar1238","Mungbam","mij","language","Africa",6.5805,10.2267,"Africa","African Savannah",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","yemn1234","abar1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abau1245","Abau","aau","language","Papunesia",-3.97222,141.324,"NG and Oceania","N Coast New Guinea",NA,"sepi1257","abau1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abaz1241","Abaza","abq","language","Eurasia",44.25,42,"W and SW Eurasia","Greater Mesopotamia",NA,"abkh1242","abkh1243","abaz1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abid1235","Abidji","abi","language","Africa",5.65656,-4.58421,"Africa","African Savannah",NA,"atla1278","volt1241","kwav1236","nyoa1234","agne1238","abid1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abip1241","Abipon","axb","language","South America",-29,-61,"S America","SE South America",NA,"guai1249","guai1250","abip1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abis1238","Aewa","ash","language","South America",-1.284096,-75.084405,"S America","NE South America",NA,"abis1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abkh1244","Abkhaz","abk","language","Eurasia",43.056218,41.159115,"W and SW Eurasia","Greater Mesopotamia",NA,"abkh1242","abkh1243","abkh1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abua1244","Abua","abn","language","Africa",4.83057,6.61492,"Africa","African Savannah",NA,"atla1278","volt1241","benu1247","delt1251","cent2028","abua1243","abua1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abua1245","Abu' Arapesh","aah","language","Papunesia",-3.461612,142.917031,"NG and Oceania","N Coast New Guinea",NA,"nucl1708","komb1276","arap1279","mufi1239","buki1250","abua1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abui1241","Abui","abz","language","Papunesia",-8.31058,124.588,"NG and Oceania","Oceania",NA,"timo1261","alor1249","nucl1821","alor1250","abui1242","abui1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abuj1237","Abujmaria",NA,"dialect","Eurasia",19.79,79.91,"S/SE Asia","Indic",NA,"drav1251","sout3133","sout3139","gond1265","sout3234","mari1414","abuj1237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abun1252","Abun","kgr","language","Papunesia",-0.57073,132.416,"NG and Oceania","N Coast New Guinea",NA,"abun1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abur1243","Abure","abu","language","Africa",5.21534,-3.64123,"Africa","African Savannah",NA,"atla1278","volt1241","kwav1236","nyoa1234","poto1254","tano1248","west2816","abur1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acat1239","Acatepec Me'phaa","tpx","language","North America",17.1034,-99.0602,"C America","Mesoamerica",NA,"otom1299","west2783","tlap1252","subt1249","meph1234","nort3350","west2948","acat1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acha1249","Longchuan Achang","acn","language","Eurasia",24.3479,97.7438,"S/SE Asia","Southeast Asia",NA,"sino1245","burm1265","lolo1265","burm1266","sout3159","acha1252","acha1249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acha1250","Achagua","aca","language","South America",4.38649,-72.2005,"S America","NE South America",NA,"araw1281","japu1236","nucl1764","nort3362","piap1247","acha1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ache1245","Acheron","acz","language","Africa",10.8827,30.3187,"Africa","African Savannah",NA,"narr1279","bura1298","ache1247","ache1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ache1246","Aché","guq","language","South America",-25.5865,-56.4697,"S America","SE South America",NA,"tupi1275","east2909","mawe1252","awet1245","tupi1276","sout3271","tupi1277","ache1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achi1256","Achi","acr","language","North America",15.073,-90.3513,"C America","Mesoamerica",NA,"maya1287","core1254","quic1274","grea1276","core1251","quic1275","achi1256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achu1247","Achumawi","acv","language","North America",41.0979,-121.191,"W N America","Basin and Plains",NA,"pala1350","achu1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achu1248","Achuar-Shiwiar","acu","language","South America",-2.82646,-77.2641,"S America","NE South America",NA,"jiva1245","shua1256","achu1248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acol1236","Acoli","ach","language","Africa",3.57738,32.5147,"Africa","S Africa",NA,"nilo1247","west2493","lwoo1234","sout2831","acol1236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adam1253","Adamawa Fulfulde","fub","language","Africa",8.140326,13.077338,"Africa","African Savannah",NA,"atla1278","nort3146","peul1234","fula1264","fula1265","adam1260","adam1253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adan1247","Adangme","ada","language","Africa",5.9437,0.13243,"Africa","African Savannah",NA,"atla1278","volt1241","kwav1236","gada1257","adan1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adan1251","Adang","adn","language","Papunesia",-8.18958,124.448,"NG and Oceania","Oceania",NA,"timo1261","alor1249","nucl1821","west2994","adan1252","adan1251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adio1239","Adioukrou","adj","language","Africa",5.38228,-4.52522,"Africa","African Savannah",NA,"atla1278","volt1241","kwav1236","nyoa1234","agne1238","adio1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adiv1239","Kotia-Adivasi Oriya-Desiya","ort","language","Eurasia",18.1046,82.8487,"S/SE Asia","Indic",NA,"indo1319","clas1257","indo1320","indo1321","midd1375","cont1248","indo1323","oriy1254","macr1269","adiv1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adny1235","Adnyamathanha","adt","language","Australia",-30.1451,138.671,"Australia","S Australia",NA,"pama1250","aran1266","thur1253","core1260","nort2752","adny1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adze1240","Adzera","adz","language","Papunesia",-6.39394,146.294,"NG and Oceania","N Coast New Guinea",NA,"aust1307","mala1545","east2712","ocea1241","west2818","nort3206","huon1245","mark1257","uppe1423","adze1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aeka1244","Aeka","aez","language","Papunesia",-8.855095,147.99477,"NG and Oceania","S New Guinea",NA,"nucl1709","bina1276","bina1279","nucl1603","sout2934","orok1268","aeka1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aeky1238","Aekyom","awi","language","Papunesia",-5.88478,141.532,"NG and Oceania","S New Guinea",NA,"kamu1264","awin1249","aeky1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afad1236","Afade","aal","language","Africa",12.0551,14.6343,"Africa","African Savannah",NA,"afro1255","chad1250","bium1280","nort3156","koto1267","koto1265","koto1268","afad1236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afit1238","Afitti","aft","language","Africa",12.446,30.7611,"Africa","African Savannah",NA,"nyim1244","afit1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afri1274","Afrikaans","afr","language","Africa",-22,30,"Africa","S Africa",NA,"indo1319","clas1257","germ1287","nort3152","west2793","macr1270","midd1347","mode1257","glob1241","afri1273","afri1274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agar1252","Agarabi","agd","language","Papunesia",-6.20604,145.917,"NG and Oceania","Interior New Guinea",NA,"nucl1709","kain1273","kain1274","gauw1235","gads1260","agar1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
