"","glottocode","TLI0005","TLI0008","TLI0044","TLI0081","TLI0096","TLI0107","TLI0120","TLI0140","TLI0155","TLI0175","TLI0178","TLI0179","TLI0180","TLI0181","TLI0187","TLI0189","TLI0364","TLI0370","TLI0373","TLI0376","TLI0378","TLI0387","TLI0388","TLI0392","TLI0400","TLI0403","TLI0430","TLI0431","TLI0433","TLI0434","TLI0440","TLI0453","TLI0454","TLI0512","TLI0514","TLI0515","TLI0517","TLI0518","TLI0519","TLI0654","TLI0668","TLI0670","TLI0672","TLI0673","TLI0674","TLI0766","TLI0771","TLI0790","TLI0792","TLI0801","TLI0804","TLI0839","TLI0840","TLI0841","TLI0842","TLI0844","TLI0845","TLI0846","TLI0847","TLI0848","TLI0849","TLI0850","TLI0851","TLI0852","TLI0853","TLI0854","TLI0855","TLI0856","TLI0857","TLI0860","TLI0862","TLI0863","TLI0864","TLI0868","TLI0869","TLI0870","TLI0871","TLI0872","TLI0874","TLI0875","TLI0876","TLI0877","TLI0878","TLI0879","TLI0880","TLI0883","TLI0887","TLI0898","TLI0899","TLI0900","TLI0901","TLI0902","TLI0903","TLI0904","TLI0905","TLI0906","TLI0907","TLI0910","TLI0912","TLI0915","TLI0918","TLI0919","TLI0920","TLI0921","TLI0922","TLI0923","TLI0924","TLI0925","TLI0926","TLI0927","TLI0928","TLI0929","TLI0930","TLI0931","TLI0932","TLI0933","TLI0934","TLI0936","TLI0937","TLI0938","TLI0939","TLI0940","TLI0941","TLI0942","TLI0943","TLI0944","TLI0945","TLI0946","TLI0947","TLI0950","TLI0951","TLI0952","TLI0953","TLI0954","TLI0956","TLI0957","TLI0958","TLI0959","TLI0960","TLI0961","TLI0962","TLI0963","TLI0964","TLI0965","TLI0966","TLI0967","TLI0968","TLI0969","TLI0978","TLI0979","TLI0980","TLI0981","TLI0982","TLI0983","TLI0987","TLI0988","TLI0989","TLI0991","TLI0992","TLI0993","TLI0994","TLI0995","TLI0996","TLI0997","TLI0998","TLI0999","TLI1000","TLI1001","TLI1002","TLI1004","TLI1005","TLI1006","TLI1007","TLI1008","TLI1009","TLI1010","TLI1011","TLI1012","TLI1013","TLI1015","TLI1016","TLI1017","TLI1019","TLI1020","TLI1021","TLI1024","TLI1027","TLI1028","TLI1029","TLI1030","TLI1031","TLI1032","TLI1033","TLI1034","TLI1035","TLI1036","TLI1037","TLI1038","TLI1042","TLI1043","TLI1044","TLI1045","TLI1046","TLI1047","TLI1048","TLI1050","TLI1056","TLI1057","TLI1058","TLI1059","TLI1064","TLI1067","TLI1068","TLI1069","TLI1076","TLI1077","TLI1078","TLI1079","TLI1080","TLI1081","TLI1084","TLI1085","TLI1086","TLI1087","TLI1088","TLI1091","TLI1092","TLI1093","TLI1094","TLI1095","TLI1096","TLI1097","TLI1098","TLI1105","TLI1107","TLI1108","TLI1114"
"10","abkh1244","false","false","false","?","restricted","false","restricted","false","false","false","false","false","false","false","false","true","true","false","true","false","true","false","false","true","true","false","?","False","False","separative","True","false","false","?","?","?","?","?","?","Absent","'Have'","Different","Impossible","?","Gap","Identical","Differentiated","'And' different from 'with'","Grammatical marking","Inflectional optative present","Overlap for either possibility or necessity","FALSE","?","FALSE","?","split markers in verb inflection and agreement","9+","?","FALSE","2","?","?","absent","Highly differentiated","yes, without marking","affixes on verbs not possible","verbal constructions possible","FALSE","FALSE","vigesimal","XV","postnominal","final",NA,"false","?","?",NA,"true","true","true","prae","?","true","false","true","false","Both the A and P arguments","not syncretic",NA,NA,"Inflectional future exists",NA,NA,NA,"symmetrical","TRUE","false","true","Other perfect","false","false","true","S=Atr=P (neutral)","?","P=T≠G","P precedes A","interrogative verb morphology","verbal affix or clitic","post","?",NA,"clitics or affixes","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","extensive affixation","TRUE","TRUE","?","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","identity","TRUE","special imperative","normal negative","FALSE","FALSE","TRUE","FALSE","dem-noun","demonstrative word","clitics",NA,NA,"TRUE","productive full and partial","?","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","Gap","FALSE","TRUE","?",NA,NA,"?","?","nominal plurality obligatory","all-nouns","pronouns sensitive to number","unique associative plural","TRUE","TRUE","TRUE","TRUE",NA,NA,"?","TRUE","2p with number distinctions","TRUE","Possessive","TRUE","Second singular and second plural","indirect only",NA,"TRUE","FALSE","definite distinct from demonstrative","definite word","indefinite same as one","indefinite word",NA,"FALSE",NA,"Predicate negation also present","first/one-th, two-th, three-th","prefixes","FALSE","TRUE","negative affix","no double negation","TRUE","FALSE","TRUE","TRUE","TRUE",NA,"concatenative","suffixes","suffix","S=Atr=P","P=T=G","?","none","Indirect-object construction","Dedicated","genitive-noun","noun-adjective","Degree word-Adjective","not initial","sov","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE"
"15","abun1252","?","?","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","false","?","?","?","?","?","?","Absent","?","?","?","?","?","?","?","?","?","?","?","FALSE",NA,"FALSE",NA,"?","?","?","?","?","no distinction","formally similar","?","Highly differentiated","?","?","?","?","?","decimal","VX","prenominal","?","?",NA,NA,NA,"?",NA,NA,NA,NA,NA,"?","?","?","?",NA,NA,"?","?","?","?","?",NA,"?","?",NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,"question particle","?","pre","noun-num","Final","pronouns in subject position","?","?","?","?","?","?","?","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","little or no affixation","?","TRUE","?","TRUE","?","?","?","?","?","?","identity","FALSE","?","?","?","?","?","?","noun-dem","demonstrative word",NA,"obligatory",NA,"?","?","?","FALSE",NA,"?","?","?","?","?","?","FALSE","TRUE",NA,NA,"TRUE","?",NA,NA,NA,"?",NA,"TRUE","TRUE","FALSE","FALSE",NA,NA,"?","?",NA,"?","?",NA,NA,"?",NA,"?","?","definite same as demonstrative","definite word","indefinite distinct from one","indefinite word","singular only","?",NA,"Predicate negation also present","?","?","TRUE","?",NA,"double negation","?","?","TRUE","FALSE","?","?",NA,NA,NA,"S=Atr=P","P=T≠G","?","?","Indirect-object construction","Generic-noun-based","genitive-noun","noun-adjective","Adjective-Degree word","not initial","svo","?","?","?","?","?","?","FALSE","?","FALSE","FALSE",NA
"52","ainu1240","true","true","false","?","restricted","false","restricted","?","?","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","?","True","False","cumulative","True","false","true","?","?","?","?","?","?","Present","'Have'","Different","Impossible","?","?","Different stem","?","'And' different from 'with'","No grammatical marking","Inflectional optative absent","Overlap for either possibility or necessity","FALSE","TRUE","FALSE","TRUE","no split markers in verb inflection and agreement","3-8","?","FALSE","2","distinction","formally similar","absent","Moderately differentiated","?","affixes on verbs not possible","verbal constructions not possible","FALSE","TRUE","vigesimal","?","postnominal","final","false","false","false","true","plain-i/e","true","true","true","prae","prae","false",NA,"false","false","Both the A and P arguments","not syncretic",NA,NA,NA,"1","2",NA,"symmetrical",NA,NA,NA,NA,NA,NA,NA,"S=Atr=P (neutral)","S=Atr=P","P=G≠T","A precedes P","question particle","verbal affix or clitic","post","num-noun","Final","clitics or affixes","?","?","TRUE","FALSE","TRUE","FALSE","?","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","extensive affixation","TRUE","?","unrelated","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","?","differentiation","TRUE","normal imperative","special negative","FALSE","FALSE","TRUE","FALSE","dem-noun","demonstrative word","clitics",NA,"negative particle",NA,"only full reduplication",NA,NA,"TRUE","FALSE","TRUE","FALSE",NA,NA,"?","TRUE","FALSE",NA,"preverbal word",NA,"immediately preverbal","?","nominal plurality optional","all-nouns","pronouns sensitive to number","same as additive","?","?",NA,"TRUE",NA,NA,"word",NA,"2p number-neutral",NA,"?","FALSE",NA,"direct and indirect","zero in all 3rd person forms","TRUE","FALSE","?","?","?","?",NA,NA,NA,"Predicate negation also present",NA,"prefixes","TRUE","TRUE","negative word","no double negation","TRUE","FALSE","TRUE","TRUE","TRUE",NA,"concatenative","suffixes","suffix","S=Atr=P","P=T=G","?","none","Secondary-object construction","Interrogative-based","genitive-noun","adjective-noun","?","not initial","sov","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE"
"81","alam1246","?","true","false","?","restricted","false","restricted","false","false","false","false","false","true","false","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","true","false","false","false","false","false","false","Absent","Conjunctional","Different","Impossible","?","Gap","Identical","Identical","'And' different from 'with'","Grammatical marking","Inflectional optative absent","?","FALSE","?","FALSE","?","?","?","2","FALSE","2","no distinction","?","absent","?","?","?","?","FALSE","FALSE","vigesimal","?","postnominal","?","?","false","?","?",NA,"true","true","true","?","?","?","?","?","?","Both the A and P arguments","not syncretic","TRUE","semantic","Inflectional future exists","?","?","large (6-9 cases)","symmetrical","FALSE","?","?",NA,"?","?","?","S=Atr=P (neutral)","?","P=G≠T","A precedes P","intonation only",NA,"post","num-noun",NA,"clitics or affixes","?","?","TRUE","TRUE","TRUE","TRUE","TRUE","?","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","?","?","extensive affixation","TRUE","TRUE","related","TRUE","FALSE","TRUE","TRUE","?","FALSE","FALSE","differentiation","TRUE","special imperative","special negative","FALSE","TRUE","FALSE","FALSE","dem-noun","demonstrative word","clitics",NA,"negative particle","TRUE","productive full and partial","Related by gender markers",NA,"FALSE","?","?","TRUE","FALSE","TRUE","Gap","?","?",NA,"preverbal word",NA,"immediately preverbal","suffixing","nominal plurality obligatory","all-nouns","pronouns sensitive to number","unique associative plural","TRUE","FALSE","FALSE","FALSE","clitic","post","?","TRUE","2p with number distinctions","TRUE",NA,NA,"Second singular and second plural",NA,NA,"TRUE","TRUE","definite distinct from demonstrative","definite word",NA,NA,"singular only","TRUE","nominal plural affixes","?","first, two-th, three-th",NA,"FALSE","?","negative word","no double negation","TRUE","TRUE","TRUE","TRUE","TRUE","two","concatenative","suffixes","?","S=Atr=P","P=T=G","?","cat-based","Secondary-object construction","?","genitive-noun","adjective-noun","Adjective-Degree word","not initial","sov","FALSE","?","?","?","?","TRUE","TRUE","TRUE","TRUE","TRUE","?"
"126","anem1249","true","true","false","?","restricted","false","restricted","false","?","false","false","false","false","false","false","true","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","true","?","?","?","?","?","?","Absent","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","FALSE","FALSE","?","?","?","?","?","?","?","absent","?","?","?","?","?","?","?","?","?","?","false","false","false","false","plain-i/e","true","true","true","?","?","?","?","?","?","Both the A and P arguments","?","?","?","?","1","3 or more","?","?","?","?","?","?","?","?","?","S=Atr=P (neutral)","S=Atr≠P","P=G≠T","A precedes P","?","?","pre","noun-num","?","clitics or affixes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","?","?","?","?","TRUE","?","?","?","?","?","?","?","?","?","noun-dem","demonstrative word","clitics",NA,"negative particle","?","?","?","?","FALSE","?","?","?","?","?","?","?","?",NA,"postverbal word",NA,NA,"?","?","?","?","?","?","?","FALSE","TRUE","?","?","?","?","?","?","?","FALSE","?","?",NA,"?","?","?","?","?","?","singular only","?","?","?","?","suffixes","FALSE","?","negative word","no double negation","?","TRUE","TRUE","?","?","two","?","?","?","S=Atr=P","?","?","none","?","?","?","noun-adjective","?","?","svo","TRUE","?","?","?","?","?","TRUE","?","?","?","?"
"202","atak1252","false","false","false","?","restricted","?","?","?","false","false","false","true","false","false","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","true","?","?","?","?","?","?","Absent","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","FALSE","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"false","false","true",NA,"true","true","true","?","?","?","?","?","?","Both the A and P arguments","?",NA,NA,"?",NA,NA,"?","?","?","?","?","?","?","?","?","S=Atr=P (neutral)","S=Atr≠P","?","P precedes A","?","?","post","noun-num","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","dem-noun","demonstrative word","?","?","?","?","?","?","?","TRUE","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"FALSE","?","?","?","?","?","?","?",NA,"?","?","zero in at least some 3sg forms","?","?","?","?","?","?",NA,"?","?","?","?","?","FALSE","?","?","?","?","FALSE","TRUE","TRUE","?",NA,"?","suffixes","?","S=Atr=P","?","?","?","?","?","genitive-noun","?","?","?","?","FALSE","?","?","?","?","?","TRUE","?","?","?","?"
"234","awtu1239","false","false","?","false","restricted","false","restricted","false","?","true","false","true","true","true","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","true","false","false","true","false","false","false","Absent","Topic","Different","Possible","?","?","?","?","'And' different from 'with'","?","?","?","?","TRUE","?","FALSE","?","?","some (3-8)","?","?","?","?","absent","?","?","?","?","?","?","?","?","postnominal","final",NA,"false","false","true",NA,"false","false","false","?","?","?","?","?","?",NA,"?",NA,NA,"?",NA,NA,"?","?","?","?","?","?","?","?","?","S=Atr≠P (accusative)","?","P=T=G",NA,"question particle","?","post","noun-num","Final","pronouns in subject position","?","?","?","?","FALSE","TRUE","?","?","?","?","?","?","?","?","?","?","extensive affixation","TRUE","TRUE","?","TRUE","TRUE","FALSE","FALSE","?","FALSE","?","?","?","?","?","?","?","?","?","dem-noun","demonstrative word",NA,"optional",NA,"?","?","?","?",NA,"?","?","?","?","?","?","?","?","negative prefix",NA,NA,"?","suffixing","?","?","?","same as additive","TRUE","TRUE","FALSE",NA,"clitic","post","?","?","?","?","?",NA,"?","?",NA,"?","?","definite distinct from demonstrative","definite word","indefinite same as one","indefinite word","singular only","?","?","?",NA,NA,"FALSE","?","negative affix","no double negation","?","FALSE","TRUE","TRUE","?",NA,"concatenative","suffixes","suffix","?","?","lex-based","?","?","?","genitive-noun","noun-adjective","Adjective-Degree word","not initial","sov","FALSE","?","?","?","?","?","TRUE","?","TRUE","TRUE","?"
"271","bagi1246","false","false","true","?","restricted","false","restricted","false","true","false","false","false","false","false","false","false","false","false","false","false","true","false","true","false","false","false","False","False","False","separative","?","true","false","?","?","?","?","?","?","Absent","?","Different","Possible","?","Gap","?","Identical","?","Grammatical marking","Inflectional optative absent","?","TRUE","?","FALSE","?","no split markers in verb inflection and agreement","3-8","?","FALSE","?","no distinction","?","absent","?","?","affixes on verbs not possible","?","FALSE","FALSE","decimal","VX","prenominal","initial",NA,"?","?","?",NA,"true","false","true","prae","post",NA,"false",NA,NA,"Both the A and P arguments","syncretic",NA,NA,"No inflectional future",NA,NA,NA,NA,"FALSE","false","false",NA,"false","false","true","?","?","?","A precedes P","question particle","?","pre","noun-num","Final","?","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","?","?","?","?","?","?","?","?","extensive affixation","?","TRUE","unrelated","FALSE","FALSE","TRUE","?","?","TRUE","?","differentiation","FALSE","normal imperative","normal negative","FALSE","FALSE","?","FALSE","noun-dem","demonstrative word","?","?","negative particle","TRUE","only full reduplication",NA,NA,"FALSE","FALSE","TRUE",NA,"FALSE","FALSE","Pronoun-retention","FALSE","TRUE",NA,"postverbal word",NA,NA,"suffixing","nominal plurality obligatory","all-nouns","pronouns sensitive to number","?","TRUE","FALSE",NA,"TRUE",NA,NA,"?","FALSE",NA,"FALSE","?","FALSE",NA,"?",NA,"TRUE","TRUE","definite distinct from demonstrative","definite word",NA,NA,NA,NA,"nominal plural affixes","Predicate negation also present","?","suffixes","?","TRUE","negative word","no double negation","TRUE","FALSE","TRUE","TRUE",NA,NA,"concatenative",NA,"?","?","?","?","?","Indirect-object construction","Generic-noun-based","noun-genitive","noun-adjective","?","not initial","svo","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE"
"338","bara1380","true","true","true","?","restricted","false","restricted","false","false","false","true","true","false","false","false","true","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","true","false","false","true","false","false","true","Absent","?","Identical","Impossible","?","Gap","Identical","?","?","No grammatical marking","Inflectional optative absent","No overlap","TRUE","?","FALSE","?","?","?","some (3-8)","FALSE","3","no distinction","?","absent","?","?","affixes on verbs not possible","verbal constructions not possible","FALSE","TRUE","restricted","XV","prenominal","final","true","false","?","?","min/aug","true","true","true","?","?","?","?","?","?","Only the A argument","not syncretic","TRUE","semantic","No inflectional future","1","2","small (2-3 cases)","symmetrical","FALSE","?","?",NA,"?","?","?","S=Atr≠P (accusative)","?","P=T=G",NA,"interrogative verb morphology","part of the tense system","post","num-noun",NA,"clitics or affixes","?","?","TRUE","FALSE","TRUE","TRUE","TRUE","?","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","extensive affixation","TRUE","?","related","TRUE","TRUE","FALSE","FALSE","?","FALSE","TRUE","?","TRUE","normal imperative","normal negative","FALSE","TRUE","TRUE","FALSE","dem-noun","demonstrative word","clitics",NA,NA,NA,NA,"Related to remote demonstratives","?","TRUE","?","?","FALSE",NA,NA,"Gap","?","?","negative suffix",NA,NA,"?","suffixing","nominal plurality obligatory","all-nouns","pronouns sensitive to number","unique associative plural","?","?","FALSE","FALSE","affix","post","?","TRUE","2p number-neutral","FALSE","Sentential",NA,NA,"direct and indirect","?","FALSE","TRUE","?","?","?","?","singular only","TRUE","nominal plural affixes",NA,NA,NA,"?","?","negative affix","no double negation","FALSE","TRUE","TRUE","TRUE","TRUE","two","concatenative","suffixes","suffix","S=Atr≠P","P=T=G","?","?","Secondary-object construction","?","genitive-noun","?","?","initial","word order free","TRUE","?","?","?","?","TRUE","TRUE","FALSE","TRUE","TRUE","?"
"351","basq1248","false","false","false","false","restricted","false","restricted","false","false","true","false","true","true","true","false","false","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","false","false","false","true","true","true","false","false","Present","'Have'","Different","Impossible","Particle","Gap","Identical","Differentiated","'And' different from 'with'","Grammatical marking","Inflectional optative absent","Overlap for both possibility and necessity","FALSE","?","TRUE","?","?","?","many (9+)","TRUE","3","distinction","formally different","absent","Highly differentiated","yes, without marking","affixes on verbs possible","verbal constructions not possible","FALSE","FALSE","vigesimal","XV","postnominal","final",NA,"?","?","?",NA,"true","true","true","?","?","?","?","?","?","Both the A and P arguments","not syncretic",NA,NA,"Inflectional future exists",NA,NA,"very large (10 or more)","syncretism","TRUE","?","?","Other perfect","?","?","?","?","?","?","P precedes A","question particle","separate particle","post","num-noun","?","clitics or affixes","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","?","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","extensive affixation","TRUE","TRUE","related","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","identity","TRUE","normal imperative","normal negative","FALSE","FALSE","TRUE","FALSE","noun-dem","demonstrative word","clitics",NA,"negative particle","FALSE","productive full and partial","Related for all demonstratives","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,"?","?",NA,"preverbal word",NA,"immediately preverbal","?","nominal plurality obligatory","all-nouns","pronouns sensitive to number","unique associative plural","TRUE","TRUE",NA,"FALSE","clitic","post","affix","TRUE","2p with number distinctions","TRUE","Sentential",NA,"Second singular and second plural","indirect only",NA,"TRUE","FALSE","definite distinct from demonstrative","definite word","indefinite same as one","indefinite word",NA,"FALSE",NA,"Predicate negation also present","first, two-th, three-th",NA,"FALSE","TRUE","negative word","no double negation","TRUE","FALSE","TRUE","TRUE","TRUE",NA,"concatenative",NA,"?","S=P≠Atr","P=T≠G","none","?","Indirect-object construction","Interrogative-based","genitive-noun","noun-adjective","Degree word-Adjective","not initial","sov","FALSE","?","?","?","?","TRUE","TRUE","FALSE","TRUE","TRUE","?"
