"glottocode","name","isocodes","level","glottolog.macroarea","latitude","longitude","autotyp.continent","autotyp.area","comment","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20","level21","level22","level23","level24","level25","level26","level27"
"abad1241","Abadi","kbt","language","Papunesia",-9.03389,146.992,"NG and Oceania","S New Guinea",NA,"aust1307","mala1545","east2712","ocea1241","west2818","papu1253","peri1258","cent2070","west2850","abad1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abar1238","Mungbam","mij","language","Africa",6.5805,10.2267,"Africa","African Savannah",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","yemn1234","abar1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abau1245","Abau","aau","language","Papunesia",-3.97222,141.324,"NG and Oceania","N Coast New Guinea",NA,"sepi1257","abau1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abee1242","Abé","aba","language","Africa",5.59682,-4.38497,"Africa","African Savannah",NA,"atla1278","volt1241","kwav1236","nyoa1234","agne1238","abee1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aben1249","Abenlen Ayta","abp","language","Papunesia",15.4131,120.2,"S/SE Asia","Oceania",NA,"aust1307","mala1545","cent2080","samb1319","abel1234","aben1249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abip1241","Abipon","axb","language","South America",-29,-61,"S America","SE South America",NA,"guai1249","guai1250","abip1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abkh1244","Abkhaz","abk","language","Eurasia",43.056218,41.159115,"W and SW Eurasia","Greater Mesopotamia",NA,"abkh1242","abkh1243","abkh1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abua1245","Abu' Arapesh","aah","language","Papunesia",-3.461612,142.917031,"NG and Oceania","N Coast New Guinea",NA,"nucl1708","komb1276","arap1279","mufi1239","buki1250","abua1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abui1241","Abui","abz","language","Papunesia",-8.31058,124.588,"NG and Oceania","Oceania",NA,"timo1261","alor1249","nucl1821","alor1250","abui1242","abui1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abun1252","Abun","kgr","language","Papunesia",-0.57073,132.416,"NG and Oceania","N Coast New Guinea",NA,"abun1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acha1250","Achagua","aca","language","South America",4.38649,-72.2005,"S America","NE South America",NA,"araw1281","japu1236","nucl1764","nort3362","piap1247","acha1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ache1245","Acheron","acz","language","Africa",10.8827,30.3187,"Africa","African Savannah",NA,"narr1279","bura1298","ache1247","ache1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ache1246","Aché","guq","language","South America",-25.5865,-56.4697,"S America","SE South America",NA,"tupi1275","mawe1252","awet1245","tupi1276","sout3271","tupi1277","ache1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achi1256","Achi","acr","language","North America",15.073,-90.3513,"C America","Mesoamerica",NA,"maya1287","core1254","quic1274","grea1276","core1251","quic1275","achi1256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achu1247","Achumawi","acv","language","North America",41.0979,-121.191,"W N America","Basin and Plains",NA,"pala1350","achu1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acol1236","Acoli","ach","language","Africa",3.57738,32.5147,"Africa","S Africa",NA,"nilo1247","west2493","lwoo1234","sout2831","acol1236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adny1235","Adnyamathanha","adt","language","Australia",-30.1451,138.671,"Australia","S Australia",NA,"pama1250","aran1266","thur1253","core1260","nort2752","adny1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
