"","iterations","available_data_points","prop_coded_data","n_tax","n_var","worst_tax_abs","worst_tax_abs_coding_density","worst_var_abs","worst_var_abs_coding_density","removed_tax","removed_var","taxonomic_index"
"1","0 (full)","310726","0.62045802624196","2467","203","east2449;mehi1240","0.0246305418719212","GB285cc","0.0405350628293474","NA","NA","3.73345468396979"
"2","1","310721","0.620699643226701","2466","203","mehi1240","0.0246305418719212","GB285cc","0.040551500405515","east2449","NA","3.73434929062621"
"3","2","310715","0.620939457828316","2465","203","mehi1240","0.0246305418719212","GB285cc","0.0405679513184584","geme1244","NA","3.73502758609394"
"4","3","310710","0.621181466316934","2464","203","japa1238;quey1238","0.0295566502463054","GB285cc","0.0405844155844156","mehi1240","NA","3.73490503020286"
"5","4","310704","0.621421671276768","2463","203","japa1238","0.0295566502463054","GB285cc","0.0406008932196508","quey1238","NA","3.73539269806495"
"6","5","310695","0.621656068797445","2462","203","japa1238","0.0295566502463054","GB285cc","0.0406173842404549","mmen1238","NA","3.73607144070281"
"7","6","310688","0.621894660146562","2461","203","japa1238","0.0295566502463054","GB285cc","0.0406338886631451","cuaa1241","NA","3.73619976089904"
"8","7","310677","0.62212543554007","2460","203","japa1238","0.0295566502463054","GB285cc","0.040650406504065","bera1262","NA","3.73709789565193"
"9","8","310669","0.622362408524431","2459","203","japa1238","0.0295566502463054","GB285cc","0.0406669377795852","tain1254","NA","3.73696730010627"
"10","9","310657","0.622591557876763","2458","203","japa1238","0.0295566502463054","GB285cc","0.0406834825061025","cent2060","NA","3.73786604686969"
"11","10","310643","0.622816883900628","2457","203","japa1238","0.0295566502463054","GB285cc","0.0407000407000407","homa1239","NA","3.73854670015035"
"12","11","310631","0.623046404903644","2456","203","japa1238","0.0295566502463054","GB285cc","0.0407166123778502","goro1270","NA","3.73883797348464"
"13","12","310625","0.623288152257883","2455","203","wira1262","0.0640394088669951","GB285cc","0.0407331975560081","japa1238","NA","3.7373386034871"
"14","13","310612","0.623516044981351","2454","203","apol1242;cent1972;finn1310","0.0788177339901478","GB285cc","0.0407497962510187","wira1262","NA","3.73748872816344"
"15","14","310596","0.623738098919791","2453","203","apol1242;finn1310","0.0788177339901478","GB285cc","0.040766408479413","cent1972","NA","3.7376038887336"
"16","15","310580","0.623960333978897","2452","203","finn1310","0.0788177339901478","GB285cc","0.0407830342577488","apol1242","NA","3.73746457794129"
"17","16","310554","0.624162652018981","2451","203","finn1310","0.0788177339901478","GB285cc","0.0407996736026112","ilia1236","NA","3.73836649225154"
"18","17","310525","0.62435910324721","2450","203","finn1310","0.0788177339901478","GB285cc","0.0408163265306122","bana1288","NA","3.73926854212302"
"19","18","310502","0.624567783774216","2449","203","finn1310","0.0788177339901478","GB285cc","0.0408329930583912","east2333","NA","3.73939568780575"
"20","19","310471","0.624760536398467","2448","203","finn1310","0.0788177339901478","GB285cc","0.0408496732026144","poly1242","NA","3.74029845930641"
"21","20","310440","0.624953446564709","2447","203","finn1310","0.0788177339901478","GB285cc","0.0408663669799755","bodo1272","NA","3.74098324049196"
"22","21","310411","0.625150542355268","2446","203","finn1310","0.0788177339901478","GB285cc","0.0408830744071954","maku1277","NA","3.74188696189554"
"23","22","310392","0.62536794705189","2445","203","finn1310","0.0788177339901478","GB285cc","0.0408997955010225","suru1262","NA","3.74139696062031"
"24","23","310369","0.625577467286932","2444","203","finn1310","0.0788177339901478","GB285cc","0.0409165302782324","nyun1247","NA","3.74154615936879"
"25","24","310347","0.625789175466649","2443","203","finn1310","0.0788177339901478","GB285cc","0.0409332787556283","sara1331","NA","3.74139946924188"
"26","25","310324","0.625999039792143","2442","203","finn1310","0.0788177339901478","GB285cc","0.0409500409500409","kawa1283","NA","3.74129139808691"
"27","26","310292","0.626190913438932","2441","203","finn1310","0.0788177339901478","GB285cc","0.0409668168783286","nalo1235","NA","3.74219716055218"
"28","27","310259","0.626380925462327","2440","203","finn1310","0.0788177339901478","GB285cc","0.040983606557377","bamb1266","NA","3.74288453621176"
"29","28","310239","0.626597349717339","2439","203","finn1310","0.0788177339901478","GB285cc","0.0410004100041","kain1272","NA","3.7422567371193"
"30","29","310212","0.626799807643348","2438","203","finn1310","0.0788177339901478","GB285cc","0.0410172272354389","kaur1267","NA","3.74240272175442"
"31","30","310178","0.626988282047498","2437","203","finn1310","0.0788177339901478","GB285cc","0.0410340582683627","ngul1236","NA","3.74331032259213"
"32","31","310149","0.627187022252421","2436","203","finn1310","0.0788177339901478","GB285cc","0.0410509031198686","warl1255","NA","3.74345219008578"
