PopName,Reference_for_first_report_of_data_or_OK_to_use_in_a_paper,Location,country,lat,lon,glottocodeBase,glottologFamily,comment.gbi.proxies,comment.tli.proxies,gbi.logical.full.proxy,gbi.logical.densified.proxy,gbi.statistical.full.proxy,gbi.statistical.densified.proxy,tli.logical.full.proxy,tli.logical.large.proxy,tli.logical.small.proxy,tli.statistical.full.proxy,tli.statistical.large.proxy,tli.statistical.small.proxy,status.glottolog,glottocodeUpstream,glottocodeUpstream.status,base.features.count.gbi.logical.full,base.features.count.gbi.logical.densified,base.features.count.gbi.statistical.full,base.features.count.gbi.statistical.densified,base.features.count.tli.logical.full,base.features.count.tli.logical.large,base.features.count.tli.logical.small,base.features.count.tli.statistical.full,base.features.count.tli.statistical.large,base.features.count.tli.statistical.small,base.density.gbi.logical.full,base.density.gbi.logical.densified,base.density.gbi.statistical.full,base.density.gbi.statistical.densified,base.density.tli.logical.full,base.density.tli.logical.large,base.density.tli.logical.small,base.density.tli.statistical.full,base.density.tli.statistical.large,base.density.tli.statistical.small,upstream.features.count.gbi.logical.full,upstream.features.count.gbi.logical.densified,upstream.features.count.gbi.statistical.full,upstream.features.count.gbi.statistical.densified,upstream.features.count.tli.logical.full,upstream.features.count.tli.logical.large,upstream.features.count.tli.logical.small,upstream.features.count.tli.statistical.full,upstream.features.count.tli.statistical.large,upstream.features.count.tli.statistical.small,upstream.density.gbi.logical.full,upstream.density.gbi.logical.densified,upstream.density.gbi.statistical.full,upstream.density.gbi.statistical.densified,upstream.density.tli.logical.full,upstream.density.tli.logical.large,upstream.density.tli.logical.small,upstream.density.tli.statistical.full,upstream.density.tli.statistical.large,upstream.density.tli.statistical.small,proxy.gbi.logical.full.density,proxy.gbi.logical.densified.density,proxy.gbi.statistical.full.density,proxy.gbi.statistical.densified.density,proxy.tli.logical.full.density,proxy.tli.logical.large.density,proxy.tli.logical.small.density,proxy.tli.statistical.full.density,proxy.tli.statistical.large.density,proxy.tli.statistical.small.density
Abazin,Jeong_2019,"Karachaevo-Cherkessia Republic, Prikubansky district",Russia,44.15,42.2,abaz1241,abkh1242,"no match, manually checked",glottocodeBase,,,,,abaz1241,abaz1241,,abaz1241,abaz1241,,language,abkh1243,,,,,,17,17,,17,17,,,,,,0.04871060172,0.04941860465,,0.05105105105,0.05182926829,,,,,,,,,,,,,,,,,,,,,,,,,,0.04871060172,0.04941860465,,0.05105105105,0.05182926829,
Abkhasian,LazaridisNature2014,Sukhum,Abkhazia,43.003333,41.015278,abkh1244,abkh1242,glottocodeBase,glottocodeBase,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,language,abkh1243,,177,173,168,162,285,281,273,267,263,257,0.8719211823,0.9105263158,0.8571428571,0.8950276243,0.8166189112,0.8168604651,0.8149253731,0.8018018018,0.8018292683,0.800623053,,,,,,,,,,,,,,,,,,,,,0.8719211823,0.9105263158,0.8571428571,0.8950276243,0.8166189112,0.8168604651,0.8149253731,0.8018018018,0.8018292683,0.800623053
Adygei,PattersonGenetics2012,Krasnodar,Russia(Caucasus),44,39,adyg1241,abkh1242,"no match, manually checked",glottocodeBase,,,,,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,language,circ1239,,,,,,130,128,121,122,120,114,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869
Adygei_Abadzhekh,Jeong_2019,"Adyghei Republic, Shovgenovsky district",Russia,45.01,40.22,abad1240,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",,,,,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,130,128,121,122,120,114,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869
Adygei_Bzhedug,Jeong_2019,"Adyghei Republic, Takhtamukayski district",Russia,44.89,39.24,bezh1247,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",,,,,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,130,128,121,122,120,114,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869
Adygei_Mamkheg,Jeong_2019,"Adyghei Republic, Shovgenovsky district, Mamkheg village",Russia,45,40.22,adyg1241,abkh1242,"no match, manually checked",glottocodeBase,,,,,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,language,circ1239,,,,,,130,128,121,122,120,114,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869
Adygei_Shapsug_Black_Sea,Jeong_2019,"Krasnodar region, Lazarevsky and Tuapsinsky districts",Russia,44.15,39.12,shap1240,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",,,,,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,130,128,121,122,120,114,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869
Adygei_Shapsug_Kuban,Jeong_2019,Adyghei Republic,Russia,45,38.75,shap1240,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",,,,,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,130,128,121,122,120,114,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869,,,,,0.3724928367,0.3720930233,0.3611940299,0.3663663664,0.3658536585,0.3551401869
Afar_WGA,LazaridisNature2014,..,Ethiopia,11.8,41.4,afar1241,afro1255,glottocodeBase,glottocodeBase,afar1241,afar1241,afar1241,afar1241,afar1241,afar1241,,afar1241,afar1241,,language,saho1245,,175,173,164,160,60,60,,57,57,,0.8620689655,0.9105263158,0.8367346939,0.8839779006,0.1719197708,0.1744186047,,0.1711711712,0.1737804878,,,,,,,,,,,,,,,,,,,,,,0.8620689655,0.9105263158,0.8367346939,0.8839779006,0.1719197708,0.1744186047,,0.1711711712,0.1737804878,
AfroAmericans_Denver,LazaridisNature2014,Denver_Colorado,USA,39.7,-105,ND,,"no match, manually checked","no match, manually checked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain_Touta_WGA,LazaridisNature2014,Batna,Algeria,35.4,5.9,tach1249,afro1255,"no match, manually checked",glottocodeBase,,,,,tach1249,,,tach1249,,,language,zena1250,,,,,,12,,,10,,,,,,,0.03438395415,,,0.03003003003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03438395415,,,0.03003003003,,
Albanian,LazaridisNature2014,Tirana,Albania,41.33,19.83,alba1267,indo1319,"proxy gehg1238 manually checked, note: genetic sample from Tirana (Gheg)","proxy tosk1239 manually checked, genetic sample from Tirana (Gheg), but tosk1239 used",gheg1238,gheg1238,gheg1238,gheg1238,tosk1239,tosk1239,,tosk1239,tosk1239,,,clas1257,,,,,,23,,,21,,,,,,,0.0659025788,,,0.06306306306,,,,,,,,,,,,,,,,,,,,,,,0.8965517241,0.9315789474,0.8724489796,0.9060773481,0.3065902579,0.3052325581,,0.3153153153,0.3140243902,
Aleut,LazaridisNature2014,Nikolskoye,Russia,55.18,166,aleu1260,eski1264,glottocodeBase,glottocodeBase,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,language,aleu1261,,175,172,168,165,160,157,150,149,146,140,0.8620689655,0.9052631579,0.8571428571,0.9116022099,0.4584527221,0.4563953488,0.447761194,0.4474474474,0.4451219512,0.4361370717,,,,,,,,,,,,,,,,,,,,,0.8620689655,0.9052631579,0.8571428571,0.9116022099,0.4584527221,0.4563953488,0.447761194,0.4474474474,0.4451219512,0.4361370717
Aleut_Tlingit,LazaridisNature2014,Nikolskoye,Russia,55.18,166,aleu1260,eski1264,glottocodeBase,glottocodeBase,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,aleu1260,language,aleu1261,,175,172,168,165,160,157,150,149,146,140,0.8620689655,0.9052631579,0.8571428571,0.9116022099,0.4584527221,0.4563953488,0.447761194,0.4474474474,0.4451219512,0.4361370717,,,,,,,,,,,,,,,,,,,,,0.8620689655,0.9052631579,0.8571428571,0.9116022099,0.4584527221,0.4563953488,0.447761194,0.4474474474,0.4451219512,0.4361370717
Algerian,LazaridisNature2014,Algiers,Algeria,36.75,3.04,alge1239,afro1255,"no match, manually checked","no match, manually checked",,,,,,,,,,,language,nort3191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algonquin,LazaridisNature2014,Quebec,Canada,48.4,-71.1,algo1255,algi1248,"no match, manually checked",glottocodeBase,,,,,algo1255,,,algo1255,,,language,seve1242,,,,,,2,,,2,,,,,,,0.005730659026,,,0.006006006006,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005730659026,,,0.006006006006,,
Altaian,LazaridisNature2014,..,Russia,51.9,85.95,sout2694,turk1311,"no match, manually checked",glottocodeBase,,,,,sout2694,,,sout2694,,,language,east2791,,,,,,8,,,8,,,,,,,0.0229226361,,,0.02402402402,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0229226361,,,0.02402402402,,
Altaian_Chelkans,Jeong_2019,"Altai Republic, Turochaksky district",Russia,52.33,86.97,chel1242,turk1311,"no match, manually checked","glottocodeUpstream, manually checked",,,,,nort2686,nort2686,,nort2686,nort2686,,dialect,nort2686,language,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,39,39,,,,,,0.11747851,0.1191860465,,0.1171171171,0.118902439,,,,,,0.11747851,0.1191860465,,0.1171171171,0.118902439,
