"","glottocode","TLI0547","TLI0549","TLI0552","TLI0559","TLI0560","TLI0564","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0599","TLI0604","TLI0891","TLI0892","TLI0893","TLI1099","TLI1100","TLI1101","TLI1102","TLI1115","TLI1116"
"8","abip1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?"
"10","abkh1244","True","False","False","False","True","False","False","False","False","False","False","False","False","?","False","False","False","False","False","False","FALSE","FALSE","FALSE","FALSE",NA,"M"
"12","abua1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?",NA,NA
"13","abui1241","False","?","False","?","False","?","False","False","?","True","False","True","True","True","?","True","False","False","False","?","?","?","TRUE","FALSE","?","?"
"15","abun1252","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"N"
"17","acat1239","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","FALSE","?","?"
"19","acha1250","?","?","False","False","?","?","False","False","False","False","False","?","?","?","?","?","?","True","False","False","FALSE","FALSE","?","FALSE","N",NA
"23","achu1247","False","False","False","?","?","False","False","False","?","False","False","False","False","?","False","False","?","?","?","False","FALSE","FALSE","FALSE","FALSE",NA,"M"
"24","achu1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?"
"28","adan1251","False","?","False","?","False","?","False","False","?","False","False","False","False","True","?","False","False","False","False","False","?","?","?","FALSE","?","?"
"31","adny1235","?","?","False","False","?","?","False","False","False","?","False","?","?","?","?","?","?","True","False","False","?","?","?","FALSE",NA,"N"
"44","agua1253","False","False","False","?","?","False","False","False","?","False","False","False","False","?","False","False","?","?","?","False","FALSE","FALSE","FALSE","FALSE",NA,NA
"50","ahte1237","False","False","False","?","?","False","False","?","?","False","False","False","False","?","False","False","?","?","?","False","FALSE","FALSE","FALSE","FALSE",NA,"N"
"52","ainu1240","?","True","False","?","?","?","False","?","?","False","False","False","False","?","False","False","?","?","?","False","TRUE","FALSE","TRUE","FALSE",NA,NA
"76","alab1237","False","False","False","?","?","False","False","False","?","False","False","False","True","?","False","False","?","?","?","False","FALSE","FALSE","TRUE","FALSE",NA,NA
"81","alam1246","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","True","False","?","?","?","?","N","N"
"83","alba1267","False","False","False","False","False","False","False","False","True","False","False","False","False","?","False","False","False","False","False","?","FALSE","FALSE","FALSE","FALSE",NA,"T"
"86","aleu1260","True","False","False","False","False","True","False","False","False","False","False","False","False","?","False","False","True","False","False","False","FALSE","FALSE","FALSE","FALSE",NA,"T"
"93","alse1251","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"N"
"94","aluo1235","?","True","True","False","False","?","True","?","?","False","False","False","False","?","?","?","False","False","False","?","FALSE","FALSE","?","FALSE",NA,"N"
"96","alya1239","?","?","False","False","?","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"FALSE","TRUE","?","FALSE",NA,NA
"97","amai1246","?","False","False","False","False","?","?","False","?","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE",NA,"N"
"98","amap1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?",NA,"N"
"101","amar1274","False","False","False","?","?","False","False","False","?","False","False","False","False","?","False","False","?","?","?","False","FALSE","FALSE","TRUE","FALSE","N",NA
"105","amba1269","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","M"
"116","anam1247","?","True","False","False","False","?","?","False","?","?","?","?","?","?","?","?","False","False","True","?","?","?","?","FALSE",NA,"N"
"128","anga1288","False","True","True","False","False","False","False","False","True","False","False","False","?","?","False","False","True","False","False","False","FALSE","FALSE","?","FALSE",NA,"N"
"129","anga1290","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","FALSE","FALSE","?","?"
"147","anya1244","False","?","?","?","?","?","False","?","False","?","False","?","False","?","?","True","?","True","False","?","FALSE","?","?","FALSE",NA,"?"
"150","aona1235","False","False","True","False","False","True","False","False","True","True","False","False","?","?","False","False","True","False","False","False","FALSE","FALSE","?","FALSE","N","N"
"152","apal1256","?","False","False","False","False","?","?","False","?","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE",NA,"N"
"155","apin1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","FALSE","FALSE","TRUE","FALSE","?","?"
"157","apma1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","N",NA
"160","arab1267","?","?","False","False","?","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","FALSE",NA,"?"
"161","arab1268","False","False","False","?","?","False","False","False","?","True","False","False","?","?","True","True","?","?","?","False","?","TRUE","TRUE","FALSE",NA,NA
"165","aran1237","True","True","False","?","?","?","False","?","?","False","?","False","?","?","?","False","?","?","?","False","?","?","?","?","?","?"
"166","arap1274","False","False","False","?","?","False","False","False","?","False","False","False","True","?","False","False","?","?","?","?","?","FALSE","TRUE","FALSE","N","N"
"172","arch1244","False","True","False","False","False","True","False","False","True","False","False","False","False","?","False","False","False","False","False","False","FALSE","FALSE","FALSE","FALSE",NA,NA
"178","arik1262","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?"
"199","asun1235","?","True","True","False","?","False","?","?","False","?","?","?","False","True","False","?","?","False","False","?","FALSE","FALSE","?","?","?","?"
"200","asut1235","False","?","?","False","False","?","False","?","?","False","False","False","False","?","?","False","False","?","?","?","?","?","?","?","M",NA
"202","atak1252","True","False","False","?","?","False","False","False","?","False","False","False","False","?","False","False","?","?","?","?","FALSE","TRUE","FALSE","FALSE",NA,"N"
"211","atsu1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?"
"217","avar1256","False","False","False","False","?","True","False","False","False","False","False","False","False","?","False","False","False","False","False","False","FALSE","FALSE","FALSE","FALSE",NA,"T"
