"code_ID","short.name","value"
"TLI0005-?","TLI0005","?"
"TLI0005-false","TLI0005","false"
"TLI0005-true","TLI0005","true"
"TLI0035-?","TLI0035","?"
"TLI0035-false","TLI0035","false"
"TLI0035-true","TLI0035","true"
"TLI0044-?","TLI0044","?"
"TLI0044-true","TLI0044","true"
"TLI0044-false","TLI0044","false"
"TLI0081-?","TLI0081","?"
"TLI0081-false","TLI0081","false"
"TLI0081-true","TLI0081","true"
"TLI0096-?","TLI0096","?"
"TLI0096-restricted","TLI0096","restricted"
"TLI0096-semi-restricted","TLI0096","semi-restricted"
"TLI0102-?","TLI0102","?"
"TLI0102-none","TLI0102","none"
"TLI0102-lex-based","TLI0102","lex-based"
"TLI0102-cat-based","TLI0102","cat-based"
"TLI0107-?","TLI0107","?"
"TLI0107-false","TLI0107","false"
"TLI0107-true","TLI0107","true"
"TLI0120-?","TLI0120","?"
"TLI0120-unrestricted","TLI0120","unrestricted"
"TLI0120-restricted","TLI0120","restricted"
"TLI0120-semi-restricted","TLI0120","semi-restricted"
"TLI0140-?","TLI0140","?"
"TLI0140-false","TLI0140","false"
"TLI0140-true","TLI0140","true"
"TLI0155-?","TLI0155","?"
"TLI0155-false","TLI0155","false"
"TLI0155-true","TLI0155","true"
"TLI0164-?","TLI0164","?"
"TLI0164-false","TLI0164","false"
"TLI0164-true","TLI0164","true"
"TLI0179-?","TLI0179","?"
"TLI0179-false","TLI0179","false"
"TLI0179-true","TLI0179","true"
"TLI0180-?","TLI0180","?"
"TLI0180-false","TLI0180","false"
"TLI0180-true","TLI0180","true"
"TLI0360-?","TLI0360","?"
"TLI0360-0","TLI0360","0"
"TLI0360-1","TLI0360","1"
"TLI0364-?","TLI0364","?"
"TLI0364-true","TLI0364","true"
"TLI0364-false","TLI0364","false"
"TLI0370-?","TLI0370","?"
"TLI0370-false","TLI0370","false"
"TLI0370-true","TLI0370","true"
"TLI0371-?","TLI0371","?"
"TLI0371-false","TLI0371","false"
"TLI0371-true","TLI0371","true"
"TLI0373-?","TLI0373","?"
"TLI0373-true","TLI0373","true"
"TLI0373-false","TLI0373","false"
"TLI0374-?","TLI0374","?"
"TLI0374-false","TLI0374","false"
"TLI0374-true","TLI0374","true"
"TLI0376-?","TLI0376","?"
"TLI0376-false","TLI0376","false"
"TLI0376-true","TLI0376","true"
"TLI0378-?","TLI0378","?"
"TLI0378-true","TLI0378","true"
"TLI0378-false","TLI0378","false"
"TLI0381-?","TLI0381","?"
"TLI0381-false","TLI0381","false"
"TLI0381-true","TLI0381","true"
"TLI0383-?","TLI0383","?"
"TLI0383-false","TLI0383","false"
"TLI0383-true","TLI0383","true"
"TLI0388-?","TLI0388","?"
"TLI0388-false","TLI0388","false"
"TLI0388-true","TLI0388","true"
"TLI0392-?","TLI0392","?"
"TLI0392-true","TLI0392","true"
"TLI0392-false","TLI0392","false"
"TLI0398-?","TLI0398","?"
"TLI0398-false","TLI0398","false"
"TLI0398-true","TLI0398","true"
"TLI0400-?","TLI0400","?"
"TLI0400-true","TLI0400","true"
"TLI0400-false","TLI0400","false"
"TLI0401-?","TLI0401","?"
"TLI0401-true","TLI0401","true"
"TLI0401-false","TLI0401","false"
"TLI0430-?","TLI0430","?"
"TLI0430-False","TLI0430","False"
"TLI0430-True","TLI0430","True"
"TLI0431-?","TLI0431","?"
"TLI0431-False","TLI0431","False"
"TLI0431-True","TLI0431","True"
"TLI0440-?","TLI0440","?"
"TLI0440-True","TLI0440","True"
"TLI0440-False","TLI0440","False"
"TLI0453-false","TLI0453","false"
"TLI0453-?","TLI0453","?"
"TLI0453-true","TLI0453","true"
"TLI0512-?","TLI0512","?"
"TLI0512-true","TLI0512","true"
"TLI0512-false","TLI0512","false"
"TLI0513-?","TLI0513","?"
"TLI0513-false","TLI0513","false"
"TLI0513-true","TLI0513","true"
"TLI0514-?","TLI0514","?"
"TLI0514-true","TLI0514","true"
"TLI0514-false","TLI0514","false"
"TLI0515-?","TLI0515","?"
"TLI0515-true","TLI0515","true"
"TLI0515-false","TLI0515","false"
"TLI0517-?","TLI0517","?"
"TLI0517-true","TLI0517","true"
"TLI0517-false","TLI0517","false"
"TLI0518-?","TLI0518","?"
"TLI0518-true","TLI0518","true"
"TLI0518-false","TLI0518","false"
"TLI0519-?","TLI0519","?"
"TLI0519-false","TLI0519","false"
"TLI0519-true","TLI0519","true"
"TLI0549-?","TLI0549","?"
"TLI0549-False","TLI0549","False"
"TLI0549-True","TLI0549","True"
"TLI0552-?","TLI0552","?"
"TLI0552-False","TLI0552","False"
"TLI0552-True","TLI0552","True"
"TLI0559-?","TLI0559","?"
"TLI0559-False","TLI0559","False"
"TLI0559-True","TLI0559","True"
"TLI0560-?","TLI0560","?"
"TLI0560-True","TLI0560","True"
"TLI0560-False","TLI0560","False"
"TLI0570-?","TLI0570","?"
"TLI0570-False","TLI0570","False"
"TLI0570-True","TLI0570","True"
"TLI0578-?","TLI0578","?"
"TLI0578-False","TLI0578","False"
"TLI0578-True","TLI0578","True"
"TLI0580-?","TLI0580","?"
"TLI0580-False","TLI0580","False"
"TLI0580-True","TLI0580","True"
"TLI0582-?","TLI0582","?"
"TLI0582-False","TLI0582","False"
"TLI0582-True","TLI0582","True"
"TLI0589-?","TLI0589","?"
"TLI0589-False","TLI0589","False"
"TLI0589-True","TLI0589","True"
"TLI0592-?","TLI0592","?"
"TLI0592-False","TLI0592","False"
"TLI0592-True","TLI0592","True"
"TLI0596-?","TLI0596","?"
"TLI0596-False","TLI0596","False"
"TLI0596-True","TLI0596","True"
"TLI0597-?","TLI0597","?"
"TLI0597-True","TLI0597","True"
"TLI0597-False","TLI0597","False"
"TLI0598-?","TLI0598","?"
"TLI0598-False","TLI0598","False"
"TLI0598-True","TLI0598","True"
"TLI0604-?","TLI0604","?"
"TLI0604-False","TLI0604","False"
"TLI0604-True","TLI0604","True"
"TLI0608-FALSE","TLI0608","FALSE"
"TLI0608-?","TLI0608","?"
"TLI0608-TRUE","TLI0608","TRUE"
"TLI0612-FALSE","TLI0612","FALSE"
"TLI0612-?","TLI0612","?"
"TLI0612-TRUE","TLI0612","TRUE"
"TLI0613-FALSE","TLI0613","FALSE"
"TLI0613-?","TLI0613","?"
"TLI0613-TRUE","TLI0613","TRUE"
"TLI0615-TRUE","TLI0615","TRUE"
"TLI0615-?","TLI0615","?"
