"original.names","new.name","short.name","description","original.features","design.logical","design.logical.statistical","modification.IDs","associated.modification.IDs.without.resulting.action","known.remaining.dependencies.after.statistical.treatment","suspected.but.untestable.dependencies","networks.of.dependencies","recode.operation.type","condition.human.readable","condition.if.feature.conditioned","first.priority.feature.if.merged","second.priority.feature.if.merged","third.priority.feature.if.merged","fourth.priority.feature.if.merged","recode.operation.Rcode","original.states","new.states","recode.pattern","domain"
"autotyp_Alienability_NPHasInalienableClasses","o_autotyp_Alienability_NPHasInalienableClasses","TLI0005","autotyp_Alienability: NP Has Inalienable Classes",TRUE,TRUE,TRUE,"","S-ALI-1;S-ALI-2;S-NPS-05;S-NPS-06;D-IV2AC-1;D-POV-019;D-AUTOTYPMOD-01;D-AUTOTYPMOD-03","","","","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForCase","o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForCase","TLI0035","autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Category Conditioned Splits For Case",TRUE,TRUE,TRUE,"","S-ALIGN-07","S-ALIGN-07","","alignment","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForCase","o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForCase","TLI0044","autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Reference Conditioned Splits For Case",TRUE,TRUE,TRUE,"","S-ALIGN-07","S-ALIGN-07","","alignment","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_GrammaticalMarkersPerLanguage_CaseMarkerBehaviorIsSpreading","o_autotyp_GrammaticalMarkersPerLanguage_CaseMarkerBehaviorIsSpreading","TLI0081","autotyp_GrammaticalMarkersPerLanguage: Case Marker Behavior Is Spreading",TRUE,TRUE,TRUE,"","D-POV-029","","","","include without modification","if case (according to implicit autotyp definition in GrammaticalMarkersPerLanguage) present","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_GrammaticalMarkersPerLanguage_CaseMarkerHostRestriction","o_autotyp_GrammaticalMarkersPerLanguage_CaseMarkerHostRestriction","TLI0096","autotyp_GrammaticalMarkersPerLanguage: Case Marker Host Restriction",TRUE,TRUE,TRUE,"","","","","","include without modification","if case (according to implicit autotyp definition in GrammaticalMarkersPerLanguage) present","","","","","","","1 semi-restricted;2 restricted;3 ?","","","Morphosyntax"
"autotyp_GrammaticalMarkersPerLanguage_CaseMarkerStemFlexivity","o_autotyp_GrammaticalMarkersPerLanguage_CaseMarkerStemFlexivity","TLI0102","autotyp_GrammaticalMarkersPerLanguage: Case Marker Stem Flexivity",TRUE,TRUE,TRUE,"","","","","","include without modification","if case (according to implicit autotyp definition in GrammaticalMarkersPerLanguage) present","","","","","","","1 none;2 lex-based;3 cat-based;4 ?","","","Morphosyntax"
"autotyp_GrammaticalMarkersPerLanguage_NegationMarkerExpressesMultipleCategories","o_autotyp_GrammaticalMarkersPerLanguage_NegationMarkerExpressesMultipleCategories","TLI0107","autotyp_GrammaticalMarkersPerLanguage: Negation Marker Expresses Multiple Categories",TRUE,TRUE,TRUE,"","S-MOR-35-O;S-MOR-35-C;D-U100LGAC-07;S-MOR-36;S-MOR-37","","","fusional/agglutinative","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_GrammaticalMarkersPerLanguage_NegationMarkerHostRestriction","o_autotyp_GrammaticalMarkersPerLanguage_NegationMarkerHostRestriction","TLI0120","autotyp_GrammaticalMarkersPerLanguage: Negation Marker Host Restriction",TRUE,TRUE,TRUE,"","","","","","include without modification","none","","","","","","","1 unrestricted;2 semi-restricted;3 restricted;4 ?","","","Morphosyntax"
"autotyp_GrammaticalMarkersPerLanguage_NounPluralMarkerHasMultipleExponents","o_autotyp_GrammaticalMarkersPerLanguage_NounPluralMarkerHasMultipleExponents","TLI0140","autotyp_GrammaticalMarkersPerLanguage: Noun Plural Marker Has Multiple Exponents",TRUE,TRUE,TRUE,"","","","","fusional/agglutinative","include without modification","if noun plural markers (according to implicit autotyp definition in GrammaticalMarkersPerLanguage) present","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_GrammaticalMarkersPerLanguage_TenseMarkerExpressesMultipleCategories","o_autotyp_GrammaticalMarkersPerLanguage_TenseMarkerExpressesMultipleCategories","TLI0155","autotyp_GrammaticalMarkersPerLanguage: Tense Marker Expresses Multiple Categories",TRUE,TRUE,TRUE,"","D-POV-051;D-U100LGAC-13;S-TAME-21","S-TAME-21","","fusional/agglutinative","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
