PopName,Reference_for_first_report_of_data_or_OK_to_use_in_a_paper,Location,country,lat,lon,glottocodeBase,glottologFamily,comment_GB_proxy,comment_MM_proxies,GB_logical_full_proxy,GB_logical_densified_proxy,GB_statistical_full_proxy,GB_statistical_densified_proxy,MM_logical_full_proxy,MM_logical_large_proxy,MM_logical_small_proxy,MM_statistical_full_proxy,MM_statistical_large_proxy,MM_statistical_small_proxy,status_glottolog,glottocodeUpstream,glottocodeUpstream_status,base_features_count_gb_logical_full,base_features_count_gb_logical_densified,base_features_count_gb_statistical_full,base_features_count_gb_statistical_full.1,base_features_count_mm_logical_full,base_features_count_mm_logical_large,base_features_count_mm_logical_small,base_features_count_mm_statistical_full,base_features_count_mm_statistical_large,base_features_count_mm_statistical_small,base_density_gb_logical_full,base_density_gb_logical_densified,base_density_gb_statistical_full,base_density_gb_statistical_densified,base_density_mm_logical_full,base_density_mm_logical_large,base_density_mm_logical_small,base_density_mm_statistical_full,base_density_mm_statistical_large,base_density_mm_statistical_small,upstream_features_count_gb_logical_full,upstream_features_count_gb_logical_densified,upstream_features_count_gb_statistical_full,upstream_features_count_gb_statistical_densified,upstream_features_count_mm_logical_full,upstream_features_count_mm_logical_large,upstream_features_count_mm_logical_small,upstream_features_count_mm_statistical_full,upstream_features_count_mm_statistical_large,upstream_features_count_mm_statistical_small,upstream_density_gb_logical_full,upstream_density_gb_logical_densified,upstream_density_gb_statistical_full,upstream_density_gb_statistical_densified,upstream_density_mm_logical_full,upstream_density_mm_logical_large,upstream_density_mm_logical_small,upstream_density_mm_statistical_full,upstream_density_mm_statistical_large,upstream_density_mm_statistical_small,proxy_gb_logical_full_density,proxy_gb_logical_densified_density,proxy_gb_statistical_full_density,proxy_gb_statistical_densified_density,proxy_mm_logical_full_density,proxy_mm_logical_large_density,proxy_mm_logical_small_density,proxy_mm_statistical_full_density,proxy_mm_statistical_large_density,proxy_mm_statistical_small_density
Abazin,Jeong_2019,"Karachaevo-Cherkessia Republic, Prikubansky district",Russia,44.15,42.2,abaz1241,abkh1242,"no match, manually checked",glottocodeBase,NA,NA,NA,NA,abaz1241,NA,NA,abaz1241,NA,NA,language,abkh1243,,,,,,17,,,17,,,,,,,0.04871060172,,,0.05105105105,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04871060172,,,0.05105105105,,
Abkhasian,LazaridisNature2014,Sukhum,Abkhazia,43.003333,41.015278,abkh1244,abkh1242,glottocodeBase,glottocodeBase,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,abkh1244,language,abkh1243,,177,141,168,135,285,277,272,267,259,254,0.8719211823,0.9463087248,0.8571428571,0.9440559441,0.8166189112,0.8195266272,0.8242424242,0.8018018018,0.8043478261,0.8089171975,,,,,,,,,,,,,,,,,,,,,0.8719211823,0.9463087248,0.8571428571,0.9440559441,0.8166189112,0.8195266272,0.8242424242,0.8018018018,0.8043478261,0.8089171975
Adygei,PattersonGenetics2012,Krasnodar,Russia(Caucasus),44,39,adyg1241,abkh1242,"no match, manually checked",glottocodeBase,NA,NA,NA,NA,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,language,circ1239,,,,,,130,125,120,122,117,112,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981
Adygei_Abadzhekh,Jeong_2019,"Adyghei Republic, Shovgenovsky district",Russia,45.01,40.22,abad1240,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",NA,NA,NA,NA,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981
Adygei_Bzhedug,Jeong_2019,"Adyghei Republic, Takhtamukayski district",Russia,44.89,39.24,bezh1247,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",NA,NA,NA,NA,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981
Adygei_Mamkheg,Jeong_2019,"Adyghei Republic, Shovgenovsky district, Mamkheg village",Russia,45,40.22,adyg1241,abkh1242,"no match, manually checked",glottocodeBase,NA,NA,NA,NA,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,language,circ1239,,,,,,130,125,120,122,117,112,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981
Adygei_Shapsug_Black_Sea,Jeong_2019,"Krasnodar region, Lazarevsky and Tuapsinsky districts",Russia,44.15,39.12,shap1240,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",NA,NA,NA,NA,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981
Adygei_Shapsug_Kuban,Jeong_2019,Adyghei Republic,Russia,45,38.75,shap1240,abkh1242,"no match, manually checked","glottocodeUpstream, manually checked",NA,NA,NA,NA,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,adyg1241,dialect,adyg1241,language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3724928367,0.3698224852,0.3636363636,0.3663663664,0.3633540373,0.3566878981
Afar_WGA,LazaridisNature2014,..,Ethiopia,11.8,41.4,afar1241,afro1255,glottocodeBase,glottocodeBase,afar1241,afar1241,afar1241,afar1241,afar1241,afar1241,NA,afar1241,afar1241,NA,language,saho1245,,175,143,164,135,60,60,,57,57,,0.8620689655,0.9597315436,0.8367346939,0.9440559441,0.1719197708,0.1775147929,,0.1711711712,0.1770186335,,,,,,,,,,,,,,,,,,,,,,0.8620689655,0.9597315436,0.8367346939,0.9440559441,0.1719197708,0.1775147929,,0.1711711712,0.1770186335,
AfroAmericans_Denver,LazaridisNature2014,Denver_Colorado,USA,39.7,-105,ND,NA,"no match, manually checked","no match, manually checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
