"modification.type","modification.ID","design.decision","expectation.tested","motivation.for.test","source","suspected.tendency.confirmed?","requires.statistically.motivated.action","logging.in.known.remaining.dependencies","relative.overlap.vsmall.in.vlarge.sufficient","sufficient.samples.applicable.for.test","passes.bell.test","passes.cohens.d","resulting.modification","relevant.variables","resulting.added.variables","is.added.variable.kept","resulting.removed.variables","variable.1.for.test","variable.2.for.test","test","v1.equals.for.test","v1.unequals.for.test","v2.equals.for.test","v2.unequals.for.test","nr.lgs.v1","nr.lgs.v2","absolute.overlap.v1.v2","relative.overlap.vsmall.in.vlarge","relative.overlap.vlarge.in.vsmall","samples.disregarded.insufficient.lgs.applicable","samples.assessed","mean.d1.across.tested.samples","sd.d1.across.tested.samples","mean.plus.sd.d1.across.tested.samples","mean.d2.across.tested.samples","sd.d2.across.tested.samples","mean.plus.sd.d2.across.tested.samples","mean.baseline.1","mean.baseline.2","d1.baseline1.cohensd","d2.baseline2.cohensd","maximum.sum","minimum.cohensd","minimum.sum","maximum.cohensd"
"statistical","S-NUM-11-C",NA,"trial (conditioned on dual) XOR paucal in NPs",NA,NA,"yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (liberal)","GB953drmcC, GB954drmc","GB954drmcC","yes","GB954drmc","GB953drmcC","GB954drmc","XOR","1","0","1","0",220,1607,213,0.968181818181818,0.132545115121344,975,25,0,0,0,0,0,0,0.96,0.91,68.1,57.1,0,57.1,0,68.1
"statistical","S-NUM-11-O",NA,"trial XOR paucal in NPs",NA,NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also.","yes","yes","yes","yes","yes","yes","NA","GB953drmc, GB954drmc","NA","NA","NA","GB953drmc","GB954drmc","XOR","1","0","1","0",1623,1607,1603,0.997510889856876,0.987677141096734,908,92,0,0,0,0,0,0,0.97,0.99,57.6,553.7,0,57.6,0,553.7
"statistical","S-ADP-1",NA,"prepositions XOR postpositions",NA,"greenberg1963some;wals85","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB074c, GB075c","NA","NA","NA","GB074c","GB075c","XOR","1","0","1","0",2010,1956,1913,0.9780163599182,0.951741293532338,500,500,0.37,0.07,0.44,0.17,0.04,0.21,0.22,0.62,1.5,6.3,0.44,1.5,0.21,6.3
"statistical","S-ADP-2",NA,"IF NO adpositions THEN morphological case","We expect most languages to use either adpositions or non-core case to mark oblique arguments, so that a lack of adpositions will correlate with the presence of (non-core) morphological case",NA,"no","no","no","yes","yes","no","no","NA","GB563m, GB480m","NA","NA","NA","GB563m","GB480m","THEN","0","1","1","0",2229,2246,2102,0.94302377747869,0.935886019590383,500,500,0.15,0.08,0.23,NA,NA,NA,0.24,NA,1.2,NA,0.23,1.2,0.23,1.2
"statistical","S-AGR-1",NA,"IF agreement with noun in gender, THEN agreement with noun in number","Gender is less common than number overall, and if you agree with the uncommon thing (gender) you are likely to agree with the common thing (number); cf Greenberg 1963 U36 (extension)","greenberg1963some","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB560drmc, GB561drmc","GB560drmcC","yes","GB560drmc","GB560drmc","GB561drmc","THEN","1","0","1","0",804,1581,704,0.875621890547264,0.445287792536369,500,500,0.09,0.04,0.13,NA,NA,NA,0.27,NA,3.8,NA,0.13,3.8,0.13,3.8
"statistical","S-AGR-2",NA,"IF agreement of article with noun, THEN agreement of demonstrative with noun","Articles frequently historically derive from demonstratives, and demonstratives are more common in languages overall, so we expect the properties of articles to frequently be a subset of the properties of demonstratives",NA,"yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB569drmc, GB568drm","GB569drmcC","yes","GB569drmc","GB569drmc","GB568drm","THEN","1","0","1","0",878,1960,814,0.927107061503417,0.41530612244898,500,500,0.1,0.1,0.2,NA,NA,NA,0.49,NA,4,NA,0.2,4,0.2,4
"statistical","S-AGR-3",NA,"IF agreement of attributives with noun, THEN agreement of demonstrative with noun","Attributive agreement is less common than demonstrative agreement, so we expect agreement with the more common case (demonstratives) when it is present in the less common case (attributives)",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB567drm, GB568drm","NA","NA","NA","GB567drm","GB568drm","THEN","1","0","1","0",1941,1960,1818,0.936630602782071,0.927551020408163,500,500,0.26,0.06,0.32,NA,NA,NA,0.49,NA,4.5,NA,0.32,4.5,0.32,4.5
"statistical","S-ANT-1",NA,"morphological XOR phonologically free antipassive","Note this relationship is near-logical given the rareness of antipassive constructions and that extended exponence was possibly not searched for",NA,"yes, modification","yes","yes","yes","yes","yes","yes","merging, exclusion of both and neither (variable1 vs. variable2)","GB148c, GB303c","GB556OM","yes","GB148c, GB303c","GB148c","GB303c","XOR","1","0","1","0",172,147,146,0.993197278911565,0.848837209302326,852,148,0,0,0,0,0,0,0.88,0.11,25.6,3.9,0,3.9,0,25.6
"statistical","S-APP-1",NA,"IF instrumental applicative marker, THEN benefactive applicative marker","Benefactives are more common (give, write to, etc) than the use of instrumental applicatives, so we expect instrumental applicatives to be a later addition to a large set of valence changing operations. Also, according to WALS chapter 109, it is common for the same applicative morpheme to be used for both benefactives and instruments, while dedicated instrumental applicatives are rare","wals109","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB104, GB103","NA","NA","NA","GB104","GB103","THEN","1","0","1","0",1989,2048,1913,0.961789844142785,0.93408203125,500,500,0.23,0.09,0.32,NA,NA,NA,0.63,NA,4.3,NA,0.32,4.3,0.32,4.3
"statistical","S-APP-2",NA,"IF locative or directional marking on the verb, THEN benefactive applicative marker","According to WALS chapter 109, it is common for the same applicative morpheme to be used for both benefactives and locatives, while dedicated locative applicatives are rare","wals109","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB108, GB103","NA","NA","NA","GB108","GB103","THEN","1","0","1","0",2105,2048,1907,0.93115234375,0.905938242280285,500,500,0.45,0.06,0.51,NA,NA,NA,0.63,NA,3.8,NA,0.51,3.8,0.51,3.8
