"code_ID","new.name","value"
"GB107C-0","GB107C","0"
"GB107C-1","GB107C","1"
"GB107C-?","GB107C","?"
"GB107C-NA","GB107C","NA"
"GB139-0","GB139","0"
"GB139-1","GB139","1"
"GB139-?","GB139","?"
"GB140-1","GB140","1"
"GB140-0","GB140","0"
"GB140-?","GB140","?"
"GB298-0","GB298","0"
"GB298-?","GB298","?"
"GB298-1","GB298","1"
"GB299-1","GB299","1"
"GB299-?","GB299","?"
"GB299-0","GB299","0"
"GB137-?","GB137","?"
"GB137-1","GB137","1"
"GB137-0","GB137","0"
"GB138-1","GB138","1"
"GB138-0","GB138","0"
"GB138-?","GB138","?"
"GB257-0","GB257","0"
"GB257-?","GB257","?"
"GB257-1","GB257","1"
"GB260-0","GB260","0"
"GB260-?","GB260","?"
"GB260-1","GB260","1"
"GB950m-1","GB950m","1"
"GB950m-?","GB950m","?"
"GB950m-0","GB950m","0"
"GB264c-0","GB264c","0"
"GB264c-?","GB264c","?"
"GB264c-NA","GB264c","NA"
"GB264c-1","GB264c","1"
"GB285cc-NA","GB285cc","NA"
"GB285cc-?","GB285cc","?"
"GB285cc-0","GB285cc","0"
"GB285cc-1","GB285cc","1"
"GB947mc-NA","GB947mc","NA"
"GB947mc-?","GB947mc","?"
"GB947mc-1","GB947mc","1"
"GB947mc-0","GB947mc","0"
"GB949m-0","GB949m","0"
"GB949m-?","GB949m","?"
"GB949m-1","GB949m","1"
"GB286c-NA","GB286c","NA"
"GB286c-?","GB286c","?"
"GB286c-1","GB286c","1"
"GB286c-0","GB286c","0"
"GB291c-NA","GB291c","NA"
"GB291c-?","GB291c","?"
"GB291c-0","GB291c","0"
"GB291c-1","GB291c","1"
"GB297-0","GB297","0"
"GB297-?","GB297","?"
"GB297-1","GB297","1"
"GB262c-0","GB262c","0"
"GB262c-?","GB262c","?"
"GB262c-NA","GB262c","NA"
"GB262c-1","GB262c","1"
"GB263c-1","GB263c","1"
"GB263c-?","GB263c","?"
"GB263c-NA","GB263c","NA"
"GB263c-0","GB263c","0"
"GB058C-0","GB058C","0"
"GB058C-NA","GB058C","NA"
"GB058C-?","GB058C","?"
"GB058C-1","GB058C","1"
"GB059-1","GB059","1"
"GB059-0","GB059","0"
