"","ID","Parameter_ID","Name","Description","Number","icon"
"1","1A-1","1A","Small","Small",1,"c0000dd"
"2","1A-2","1A","Moderately small","Moderately small",2,"c9999ff"
"3","1A-3","1A","Average","Average",3,"cffffff"
"4","1A-4","1A","Moderately large","Moderately large",4,"cff66ff"
"5","1A-5","1A","Large","Large",5,"cdd0000"
"6","2A-1","2A","Small (2-4)","Small vowel inventory (2-4)",1,"c0000dd"
"7","2A-2","2A","Average (5-6)","Average vowel inventory (5-6)",2,"cffffff"
"8","2A-3","2A","Large (7-14)","Large vowel inventory (7-14)",3,"cdd0000"
"9","3A-1","3A","Low","Low",1,"c0000dd"
"10","3A-2","3A","Moderately low","Moderately low",2,"c9999ff"
"11","3A-3","3A","Average","Average",3,"cffffff"
"12","3A-4","3A","Moderately high","Moderately high",4,"cff66ff"
"13","3A-5","3A","High","High",5,"cdd0000"
"14","4A-1","4A","No voicing contrast","No voicing contrast",1,"cffffff"
"15","4A-2","4A","In plosives alone","Voicing contrast in plosives alone",2,"cdd0000"
"16","4A-3","4A","In fricatives alone","Voicing contrast in fricatives alone",3,"c0000dd"
"17","4A-4","4A","In both plosives and fricatives","Voicing contrast in both plosives and fricatives",4,"c990099"
"18","5A-1","5A","Other","Other",1,"cffff00"
"19","5A-2","5A","None missing in /p t k b d g/","/p t k b d g/",2,"cffffff"
"20","5A-3","5A","Missing /p/","Missing /p/",3,"cdd0000"
"21","5A-4","5A","Missing /g/","Missing /g/",4,"c0000dd"
"22","5A-5","5A","Both missing","Both missing",5,"c990099"
"23","6A-1","6A","None","No uvulars",1,"cffffff"
"24","6A-2","6A","Uvular stops only","Uvular stops only",2,"cdd0000"
"25","6A-3","6A","Uvular continuants only","Uvular continuants only",3,"c0000dd"
"26","6A-4","6A","Uvular stops and continuants","Uvular stops and continuants",4,"c990099"
"27","7A-1","7A","No glottalized consonants","No glottalized consonants",1,"cffffff"
"28","7A-2","7A","Ejectives only","Ejectives only",2,"c0000dd"
"29","7A-3","7A","Implosives only","Implosives only",3,"cdd0000"
"30","7A-4","7A","Glottalized resonants only","Glottalized resonants only",4,"dffff00"
"31","7A-5","7A","Ejectives and implosives","Ejectives and implosives",5,"c990099"
