"","ID","Name","Description","ColumnSpec","Chapter_ID"
"1","1A","Consonant Inventories",NA,NA,1
"2","2A","Vowel Quality Inventories",NA,NA,2
"3","3A","Consonant-Vowel Ratio",NA,NA,3
"4","4A","Voicing in Plosives and Fricatives",NA,NA,4
"5","5A","Voicing and Gaps in Plosive Systems",NA,NA,5
"6","6A","Uvular Consonants",NA,NA,6
"7","7A","Glottalized Consonants",NA,NA,7
"8","8A","Lateral Consonants",NA,NA,8
"9","9A","The Velar Nasal",NA,NA,9
"10","10A","Vowel Nasalization",NA,NA,10
"11","10B","Nasal Vowels in West Africa",NA,NA,10
"12","11A","Front Rounded Vowels",NA,NA,11
"13","12A","Syllable Structure",NA,NA,12
"14","13A","Tone",NA,NA,13
"15","14A","Fixed Stress Locations",NA,NA,14
"16","15A","Weight-Sensitive Stress",NA,NA,15
"17","16A","Weight Factors in Weight-Sensitive Stress Systems",NA,NA,16
"18","17A","Rhythm Types",NA,NA,17
"19","18A","Absence of Common Consonants",NA,NA,18
"20","19A","Presence of Uncommon Consonants",NA,NA,19
"21","20A","Fusion of Selected Inflectional Formatives",NA,NA,20
"22","21A","Exponence of Selected Inflectional Formatives",NA,NA,21
"23","21B","Exponence of Tense-Aspect-Mood Inflection",NA,NA,21
"24","22A","Inflectional Synthesis of the Verb",NA,NA,22
"25","23A","Locus of Marking in the Clause",NA,NA,23
"26","24A","Locus of Marking in Possessive Noun Phrases",NA,NA,24
"27","25A","Locus of Marking: Whole-language Typology",NA,NA,25
"28","25B","Zero Marking of A and P Arguments",NA,NA,25
"29","26A","Prefixing vs. Suffixing in Inflectional Morphology",NA,NA,26
"30","27A","Reduplication",NA,NA,27
"31","28A","Case Syncretism",NA,NA,28
"32","29A","Syncretism in Verbal Person/Number Marking",NA,NA,29
"33","30A","Number of Genders",NA,NA,30
"34","31A","Sex-based and Non-sex-based Gender Systems",NA,NA,31
"35","32A","Systems of Gender Assignment",NA,NA,32
"36","33A","Coding of Nominal Plurality",NA,NA,33
"37","34A","Occurrence of Nominal Plurality",NA,NA,34
"38","35A","Plurality in Independent Personal Pronouns",NA,NA,35
"39","36A","The Associative Plural",NA,NA,36
"40","37A","Definite Articles",NA,NA,37
"41","38A","Indefinite Articles",NA,NA,38
"42","39A","Inclusive/Exclusive Distinction in Independent Pronouns",NA,NA,39
"43","39B","Inclusive/Exclusive Forms in Pama-Nyungan",NA,NA,39
"44","40A","Inclusive/Exclusive Distinction in Verbal Inflection",NA,NA,40
"45","41A","Distance Contrasts in Demonstratives",NA,NA,41
"46","42A","Pronominal and Adnominal Demonstratives",NA,NA,42
"47","43A","Third Person Pronouns and Demonstratives",NA,NA,43
